url,title,channel,video_name,day,month,year,category,content
https://www.youtube.com/watch?v=4q2JGULC0pE,Motorola atualiza lista de aparelhos que vão receber o Android Marshmallow,TecMundo,16,11,12,2015,nerd,news
https://www.youtube.com/watch?v=aLo_iDNkv7U,"Google finalmente lança o Pixel C, o seu primeiro tablet Android",TecMundo,17,11,12,2015,nerd,news
https://www.youtube.com/watch?v=RsUD8CTDdAw,Falta de água | Nerdologia 59,Nerdologia,18,11,12,2015,nerd,documentary
https://www.youtube.com/watch?v=EpIga48tzdw,Desafio Qual é a Música?,Vinheteiro,12,23,11,2015,musician,funny
https://www.youtube.com/watch?v=It0cowaiU80,"""Morre Chaves hoje dia 28/11/2014 e esta é a minha homenagem ao Roberto Bolaños""",Vinheteiro,21,23,11,2015,musician,funny
https://www.youtube.com/watch?v=ysWcDAGyyF0,Darude - Sandstorm (Live Keyboard Playing Remix),Vinheteiro,11,23,11,2015,musician,funny
https://www.youtube.com/watch?v=rAAMA5hDDqo,Star Wars - Duel of Fates on Piano - Epic lightsaber music,Vinheteiro,37,23,11,2015,musician,funny
https://www.youtube.com/watch?v=ByXxWBshJVo,Super Mario Bros Ending Theme on Piano,Vinheteiro,41,23,11,2015,musician,games
https://www.youtube.com/watch?v=bGT-BPhR0x8,Musica dos Simpsons na Pianola - Simpsons theme in a Piano Roll,Vinheteiro,23,23,11,2015,musician,funny
https://www.youtube.com/watch?v=kGz59kj62og,Vinheta Futebol Globo - Música de Futebol da Globo,Vinheteiro,46,23,11,2015,musician,funny
https://www.youtube.com/watch?v=fpIDOVnWn2A,Super Mario World - Overworld theme on piano,Vinheteiro,42,23,11,2015,musician,funny
https://www.youtube.com/watch?v=yMMycSccobc,Brazilian Music - Tico Tico no fuba on piano,Vinheteiro,7,23,11,2015,musician,funny
https://www.youtube.com/watch?v=Os0zmiMfRjM,Super Mario Bros. 2 Overworld Theme on piano,Vinheteiro,40,23,11,2015,musician,games
https://www.youtube.com/watch?v=keWN9eKyy3A,Stormtrooper plays Cantina Band music on piano - Starwars soundtrack,Vinheteiro,38,23,11,2015,musician,funny
https://www.youtube.com/watch?v=AiC7lkqgvFo,Reginaldo Rossi no Piano - Música Brega - Garçom,Vinheteiro,35,23,11,2015,musician,funny
https://www.youtube.com/watch?v=q9dWbqWPU5U,Piradinha em 5 ritmos diferentes - Música da Novela Amor a Vida - piri piri pira pira,Vinheteiro,30,23,11,2015,musician,funny
https://www.youtube.com/watch?v=krQMnfmFsKc,Attack on Titan theme on piano - Shingeki no Kyojin music - Anime Theme Songs,Vinheteiro,6,23,11,2015,musician,funny
https://www.youtube.com/watch?v=tCb76mCouZI,Naruto theme on piano - Blue Bird - Naruto Shippuden music - Anime Theme Songs,Vinheteiro,25,23,11,2015,musician,funny
https://www.youtube.com/watch?v=i-JIvpOsWz0,Mortal Kombat Theme Song on Piano - Mortal Kombat Classical Version on Piano,Vinheteiro,22,23,11,2015,musician,funny
https://www.youtube.com/watch?v=LyClNRLF-3U,Pokemon versão Sertanejo com Fábio Lima,Vinheteiro,31,23,11,2015,musician,funny
https://www.youtube.com/watch?v=HfnXPqdV8rU,Iron Man 3 Music on Piano - Iron Man 3 Theme - Main Theme Soundtrack,Vinheteiro,18,23,11,2015,musician,funny
https://www.youtube.com/watch?v=c04d17cGuog,Musica Top Gear Orquestrada - Orquestra toca a música do Top Gear,Vinheteiro,24,23,11,2015,musician,games
https://www.youtube.com/watch?v=p21TNeudd6M,Walking Dead Music on Piano - Main Title Opening Theme,Vinheteiro,47,23,11,2015,musician,funny
https://www.youtube.com/watch?v=7riLTnAoi5U,X-MEN theme on piano ( x-men 90´s cartoon opening music ),Vinheteiro,49,23,11,2015,musician,funny
https://www.youtube.com/watch?v=O-3hEaovEHY,Donkey Kong Country Theme on Piano - 3 Donkey Kong Music,Vinheteiro,14,23,11,2015,musician,games
https://www.youtube.com/watch?v=-DzBF4qt5sk,Dicas para Fuvest: português e literatura,TV Estadão,16,23,11,2015,journal,news
https://www.youtube.com/watch?v=CKfFeM6zSa0,Por que o Netflix faz tanto sucesso?,TV Estadão,32,23,11,2015,journal,news
https://www.youtube.com/watch?v=LI5B2iWNmbc,Streaming: um jeito novo de ouvir música,TV Estadão,39,23,11,2015,journal,news
https://www.youtube.com/watch?v=h06j3gtALlw,Como funcionam as eleições nos EUA - Debates,TV Estadão,34,23,11,2015,journal,politics
https://www.youtube.com/watch?v=OU9NjLV9-tg,De onde vem o Halloween?,TV Estadão,36,23,11,2015,journal,news
